gitbyline,headline,label,link,time
"
Damien Gayle and 
Jessica Murray (now); 
Ben Quinn, 
Sarah Marsh and 
Helen Sullivan (earlier)",,"
Coronavirus live
",https://www.theguardian.com/world/live/2020/mar/23/coronavirus-live-updates-uk-us-italy-germany-europe-outbreak-cases-meetings-bans-update-latest-news,"
Mon 23 Mar 2020 17.56 GMT
"
"
Dean Van Nguyen","
Childish Gambino: 3.15.20 review – at the peak of the zeitgeist
","
Donald Glover
",https://www.theguardian.com/culture/2020/mar/22/childish-gambino-31520-album-review,"
Sun 22 Mar 2020 16.49 GMT
"
"
Guardian sport and agencies",,"
Olympic Games
",https://www.theguardian.com/sport/2020/mar/23/japan-olympic-committee-president-considering-postponing-games-tokyo-2020,"
Mon 23 Mar 2020 11.31 GMT
"
"
Maanvi Singh in San Francisco",,"
Animals
",https://www.theguardian.com/world/2020/mar/22/animals-cities-coronavirus-lockdowns-deer-raccoons,"
Sun 22 Mar 2020 11.00 GMT
"
"
Kirby Fenwick",,"
AFLW
",https://www.theguardian.com/sport/2020/mar/23/loss-of-aflw-season-keenly-felt-by-those-who-invested-heavily-in-it,"
Mon 23 Mar 2020 16.30 GMT
"
"
Michael Segalov",,"
Antarctica
",https://www.theguardian.com/world/2020/mar/22/the-beautiful-south-our-wild-vulnerable-world-seen-from-a-greenpeace-ship,"
Sun 22 Mar 2020 08.30 GMT
"
"
Guardian sport and agencies",,"
Australia sport
",https://www.theguardian.com/sport/2020/mar/23/nrl-australia-sport-coronavirus,"
Mon 23 Mar 2020 07.47 GMT
"
"
Rene Chun",,"
Strange sins
",https://www.theguardian.com/us-news/2020/mar/23/things-people-steal-from-hotels-why,"
Mon 23 Mar 2020 14.31 GMT
"
"
Emine Saner",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/think-about-the-best-case-scenario-how-to-manage-coronavirus-anxiety,"
Sun 22 Mar 2020 14.00 GMT
"
"
Giles Richards",,"
Formula One
",https://www.theguardian.com/sport/2020/mar/23/azerbaijan-gp-f1-race-posptoned-coronavirus-canada,"
Mon 23 Mar 2020 11.32 GMT
"
"
Andrew Dickson",,"
Theatre
",https://www.theguardian.com/stage/2020/mar/22/shakespeare-in-lockdown-did-he-write-king-lear-in-plague-quarantine,"
Sun 22 Mar 2020 14.00 GMT
"
"
David Smith in Washington and 
Edward Helmore in New York",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/trump-social-distancing-coronavirus-rules-guidelines-economy,"
Mon 23 Mar 2020 16.33 GMT
"
"
Coco Khan",,"
The one change that worked
",https://www.theguardian.com/lifeandstyle/2020/mar/23/i-turned-off-phone-notifications-and-instantly-felt-calmer-and-happier,"
Mon 23 Mar 2020 07.00 GMT
"
"
Scott Tobias",,"
Pretty Woman
",https://www.theguardian.com/film/2020/mar/23/pretty-woman-30-conservatism-materialism-glowing-star-power,"
Mon 23 Mar 2020 14.38 GMT
"
"
Joanna Ruck",,"
Best photographs of the day
",https://www.theguardian.com/news/gallery/2020/mar/23/sunrise-milky-way-white-helmets-mondays-best-photos,"
Mon 23 Mar 2020 14.30 GMT
"
"
David Smith in Washington",,"
Donald Trump
",https://www.theguardian.com/us-news/2020/mar/22/trump-coronavirus-election-november-2020,"
Sun 22 Mar 2020 06.00 GMT
"
"
Steph Harmon",,"
Music
",https://www.theguardian.com/music/2020/mar/21/coronavirus-leaves-roadies-and-events-crew-devastated-its-the-first-industry-to-stop-dead,"
Fri 20 Mar 2020 19.00 GMT
"
,,"
Pass notes
",https://www.theguardian.com/music/2020/mar/23/madonna-bathtub-coronavirus-crisis-pop-superstar,"
Mon 23 Mar 2020 14.00 GMT
"
"
Sam Cowie in São Paulo",,"
Brazil
",https://www.theguardian.com/world/2020/mar/22/brazil-forced-disappearance-young-black-men,"
Sun 22 Mar 2020 09.00 GMT
"
"
Lisa Cox",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/coronavirus-australia-latest-at-a-glance,"
Mon 23 Mar 2020 07.48 GMT
"
"
Rory Carroll Ireland correspondent",,"
Ireland
",https://www.theguardian.com/world/2020/mar/22/coronavirus-sounds-death-knell-for-the-irish-wake,"
Sun 22 Mar 2020 12.50 GMT
"
"
Jon Henley and Guardian correspondents",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/coronavirus-meet-the-scientists-who-are-now-household-names,"
Sun 22 Mar 2020 13.19 GMT
"
"
Amanda Meade",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/21/are-busloads-of-shoppers-really-stripping-australias-regional-supermarkets-bare,"
Sat 21 Mar 2020 02.24 GMT
"
"
Hannah Devlin and 
Sarah Boseley",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/what-is-coronavirus-and-what-is-the-mortality-rate,"
Sun 22 Mar 2020 08.58 GMT
"
"
Andrew Sparrow and 
Lucy Campbell",,"
Politics live with Andrew Sparrow
",https://www.theguardian.com/politics/live/2020/mar/23/uk-coronavirus-live-news-latest-boris-johnson-minister-condemns-people-ignoring-two-metre-distance-rule-in-parks-as-very-selfish,"
Mon 23 Mar 2020 17.57 GMT
"
"
Peter Lawrence Kane",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/coronavirus-aids-epidemic-san-francisco,"
Sun 22 Mar 2020 10.00 GMT
"
"
Mark Townsend",,"
Books
",https://www.theguardian.com/books/2020/mar/22/the-brighton-jihadists-bullied-brothers-who-went-into-battle,"
Sun 22 Mar 2020 11.00 GMT
"
"
Tim Adams",,"
The big picture
",https://www.theguardian.com/artanddesign/2020/mar/22/big-picture-special-branch-finland-ville-lenkkeri,"
Sun 22 Mar 2020 07.00 GMT
"
,,"
From the agencies
",https://www.theguardian.com/artanddesign/gallery/2020/mar/20/traditional-french-soap-maker-marseille-in-pictures,"
Fri 20 Mar 2020 14.42 GMT
"
Associated Press,,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/merkel-quarantined-as-doctor-who-vaccinated-her-tests-positive,"
Sun 22 Mar 2020 20.56 GMT
"
"Reported by 
Lorena Allam and presented by 
Laura Murphy-Oates. Produced by Cheyne Anderson, 
Ellen Leabeater and 
Joe Koning. The executive producers are 
Miles Martignoni and 
Gabrielle Jackson",,"
Full Story: coronavirus updates
",https://www.theguardian.com/australia-news/audio/2020/mar/20/coronavirus-how-remote-indigenous-communities-are-fighting-to-keep-coronavirus-out,"
Thu 19 Mar 2020 16.30 GMT
"
"
Michael Safi, 
Angela Giuffrida and 
Martin Farrer",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/italian-pm-warns-of-worst-crisis-since-ww2-as-coronavirus-deaths-leap-by-almost-800,"
Sun 22 Mar 2020 20.46 GMT
"
"
Catherine Shoard",,"
Film industry
",https://www.theguardian.com/film/2020/mar/23/as-australia-closes-all-cinemas-china-reopens-500-venues,"
Mon 23 Mar 2020 13.19 GMT
"
Source: Reuters,,"
Coronavirus outbreak
",https://www.theguardian.com/world/video/2020/mar/23/invisible-enemy-trump-says-he-is-wartime-president-in-coronavirus-battle-video,"
Mon 23 Mar 2020 02.40 GMT
"
"
Tom Phillips in Rio de Janeiro",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/brazils-jair-bolsonaro-says-coronavirus-crisis-is-a-media-trick,"
Mon 23 Mar 2020 12.58 GMT
"
"
Shaun Walker in Budapest",,"
Hungary
",https://www.theguardian.com/world/2020/mar/23/hungary-to-consider-bill-that-would-allow-orban-to-rule-by-decree,"
Mon 23 Mar 2020 12.27 GMT
"
"
Bethan McKernan Middle East correspondent",,"
Syria
",https://www.theguardian.com/world/2020/mar/23/syria-confirms-first-covid-19-coronavirus-case-amid-fears-of-catastrophic-spread,"
Mon 23 Mar 2020 11.01 GMT
"
"
Amy Walker",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/fit-healthy-36-year-old-uk-nurse-intensive-care-coronavirus,"
Mon 23 Mar 2020 09.09 GMT
"
"
Andrew Roth in Moscow",,"
Russia
",https://www.theguardian.com/world/2020/mar/23/russia-may-delay-putin-vote-as-coronavirus-threatens-political-agenda,"
Mon 23 Mar 2020 12.48 GMT
"
"
Lauren Aratani",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/coronavirus-us-bailout-what-you-need-to-know,"
Mon 23 Mar 2020 15.03 GMT
"
"
Jack Banister",,"
Torres Strait Islands
",https://www.theguardian.com/australia-news/2020/mar/22/language-carries-our-custom-the-keepers-of-torres-straits-traditional-lingo,"
Sat 21 Mar 2020 19.00 GMT
"
"
Ben Butler",,"
Superannuation
",https://www.theguardian.com/australia-news/2020/mar/22/australia-is-easing-superannuation-access-for-those-worst-hit-by-coronavirus-but-can-we-afford-it,"
Sun 22 Mar 2020 04.34 GMT
"
"
Peter Walker Political correspondent",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/uk-could-face-italy-style-lockdown-warns-boris-johnson,"
Sun 22 Mar 2020 20.42 GMT
"
"
Sarah Martin",,"
Australian economy
",https://www.theguardian.com/business/2020/mar/22/what-australias-189bn-coronavirus-economic-rescue-package-means-for-you,"
Sun 22 Mar 2020 03.11 GMT
"
"
Katharine Murphy Political editor",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/as-australia-goes-off-the-coronavirus-cliff-the-question-is-how-hard-will-it-land,"
Sun 22 Mar 2020 07.24 GMT
"
"
Michael McGowan",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/21/i-feel-expendable-australian-teachers-sound-alarm-about-schools-and-coronavirus,"
Fri 20 Mar 2020 19.00 GMT
"
"
Mark Sweney",,"
Disney+
",https://www.theguardian.com/media/2020/mar/23/disney-to-launch-streaming-service-as-online-viewing-figures-surge,"
Mon 23 Mar 2020 14.16 GMT
"
"
Ben Doherty",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/quiet-with-some-defiance-as-bondi-beach-succumbs-to-coronavirus-closure,"
Sun 22 Mar 2020 01.19 GMT
"
"
Luke Henriques-Gomes",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/australian-jobseekers-to-get-550-increase-as-part-of-huge-coronavirus-welfare-package,"
Sun 22 Mar 2020 04.49 GMT
"
"
Katharine Murphy and 
Sarah Martin",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/22/victoria-nsw-lockdowns-scott-morrison-coronavirus-national-cabinet,"
Sun 22 Mar 2020 12.19 GMT
"
"Interviews by 
Dave Simpson",,"
How we made
",https://www.theguardian.com/music/2020/mar/23/rick-astley-how-we-made-never-gonna-give-you-up,"
Mon 23 Mar 2020 14.40 GMT
"
"
Ben Beaumont-Thomas",,"
Listener's digest
",https://www.theguardian.com/music/2020/mar/23/kraftwerk-listeners-digest-german-electronic-music-back-catalogue,"
Mon 23 Mar 2020 10.58 GMT
"
Guardian staff,,"
The good place
",https://www.theguardian.com/lifeandstyle/2020/mar/21/australian-music-for-isolated-times-a-new-weekly-playlist,"
Fri 20 Mar 2020 22.32 GMT
"
"
Adam Morton Environment editor",,"
Environmental investigations
",https://www.theguardian.com/environment/2020/mar/22/the-forest-is-now-terribly-silent-land-set-aside-for-threatened-species-entirely-burnt-out,"
Sat 21 Mar 2020 19.00 GMT
"
"
Lanre Bakare",,"
Rap
",https://www.theguardian.com/music/2020/mar/23/rappers-coronavirus-cardi-b-dj-imarkkeyz,"
Mon 23 Mar 2020 15.52 GMT
"
"
Steve Rose",,"
Steve Rose on film
",https://www.theguardian.com/film/2020/mar/23/what-will-happen-to-the-films-delayed-by-coronavirus,"
Mon 23 Mar 2020 09.00 GMT
"
"
Palisa Anderson",,"
Australian lifestyle
",https://www.theguardian.com/lifeandstyle/2020/mar/21/go-to-ground-amid-coronavirus-how-to-grow-a-living-pantry-to-eat-this-winter,"
Fri 20 Mar 2020 19.00 GMT
"
"
Stuart Jeffries",,"
Culture
",https://www.theguardian.com/culture/2020/mar/22/standup-sistine-chapel-best-online-culture-self-isolation-coronavirus-live-streaming,"
Sun 22 Mar 2020 17.16 GMT
"
"
Andrew Stafford",,"
Australian lifestyle
",https://www.theguardian.com/lifeandstyle/2020/mar/22/renewal-and-regrowth-how-a-glorious-fig-tree-became-a-metaphor-for-my-life,"
Sat 21 Mar 2020 19.00 GMT
"
"Lena Ciric, as told to 
Elle Hunt",,"
Are you doing it right?
",https://www.theguardian.com/lifeandstyle/2020/mar/22/coronavirus-free-how-to-clean-your-mobile-phone,"
Sun 22 Mar 2020 15.00 GMT
"
"
Rachel Roddy",,"
A kitchen in Rome
",https://www.theguardian.com/food/2020/mar/23/egg-drop-soup-rachel-roddy-stracciatella-recipe,"
Mon 23 Mar 2020 11.00 GMT
"
"
Elle Hunt",,"
Five ways
",https://www.theguardian.com/lifeandstyle/2020/mar/22/regulate-your-breathing-and-four-other-ways-to-sleep-when-youre-anxious,"
Sun 22 Mar 2020 16.00 GMT
"
"
Sid Lowe in Madrid",,"
La Liga
",https://www.theguardian.com/football/2020/mar/23/spanish-football-postponed-until-further-notice-coronavirus-la-liga-spanish-fa,"
Mon 23 Mar 2020 12.23 GMT
"
"
Richard Parkin",,"
A-League
",https://www.theguardian.com/football/2020/mar/23/on-the-horns-of-a-dilemma-finding-an-a-league-exit-plan,"
Sun 22 Mar 2020 17.30 GMT
"
Reuters,,"
Real Madrid
",https://www.theguardian.com/football/2020/mar/23/marco-asensio-wins-fifa-tournament-for-real-madrid-coronavirus-la-liga-video-game,"
Mon 23 Mar 2020 09.13 GMT
"
Keeta Williams,,"
The good place
",https://www.theguardian.com/lifeandstyle/2020/mar/23/its-just-like-a-bluey-episode-how-to-get-through-quarantine-with-a-toddler,"
Sun 22 Mar 2020 16.30 GMT
"
"
Steph Harmon",,"
The Good Place
",https://www.theguardian.com/culture/2020/mar/23/isolaid-livestreamed-music-festival-brings-community-and-joy-to-a-frightening-weekend,"
Mon 23 Mar 2020 01.08 GMT
"
"
Alyx Gorman",,"
The good place
",https://www.theguardian.com/fashion/2020/mar/24/five-video-conference-grooming-tips-its-really-whats-above-the-desk-that-counts,"
Mon 23 Mar 2020 16.30 GMT
"
"
Meg Watson",,"
Stream team
",https://www.theguardian.com/culture/2020/mar/23/travel-man-richard-ayoade-and-his-famous-friends-are-hilarious-tour-guides-for-armchair-travellers,"
Mon 23 Mar 2020 02.49 GMT
"
"
Severin Carrell and 
Libby Brooks",,"
Alex Salmond
",https://www.theguardian.com/politics/2020/mar/23/alex-salmond-acquitted-of-all-charges-in-sexual-assault-trial,"
Mon 23 Mar 2020 17.10 GMT
"
"
Andrew P Street",,"
Stream team
",https://www.theguardian.com/culture/2020/mar/24/mystery-science-theater-3000-a-cry-laugh-bonkers-show-for-truly-insane-times,"
Mon 23 Mar 2020 16.30 GMT
"
Julian Rait,,"
Opinion
",https://www.theguardian.com/commentisfree/2020/mar/23/a-single-voice-of-truth-from-governments-and-health-authorities-is-critical-during-this-crisis,"
Mon 23 Mar 2020 02.09 GMT
"
Anusha Bradley in Taradale,,"
New Zealand
",https://www.theguardian.com/world/2020/mar/23/gangs-of-new-zealand-explosion-of-violence-prompts-fears-police-have-lost-control,"
Mon 23 Mar 2020 00.42 GMT
"
"
Graham Readfearn",,"
Great Barrier Reef
",https://www.theguardian.com/environment/2020/mar/23/barrier-reef-watchers-anxiously-await-evidence-of-coral-bleaching-from-aerial-surveys,"
Sun 22 Mar 2020 19.32 GMT
"
"
Fiona Harvey Environment correspondent",,"
Electric, hybrid and low-emission cars
",https://www.theguardian.com/environment/2020/mar/23/electric-cars-produce-less-co2-than-petrol-vehicles-study-confirms,"
Mon 23 Mar 2020 16.08 GMT
"
"
Katharine Murphy Political editor",,"
The Guardian essential report
",https://www.theguardian.com/australia-news/2020/mar/24/guardian-essential-poll-one-third-say-there-has-been-an-overreaction-to-coronavirus,"
Mon 23 Mar 2020 16.30 GMT
"
"
Andrew Pulver",,"
Tom Hanks
",https://www.theguardian.com/film/2020/mar/23/tom-hanks-feeling-better-after-covid-19-diagnosis,"
Mon 23 Mar 2020 11.35 GMT
"
"
Josh Taylor and 
Ben Butler",,"
Virgin Australia
",https://www.theguardian.com/business/2020/mar/23/virgin-australia-qantas-accc-investigate-campaign-competition,"
Mon 23 Mar 2020 08.11 GMT
"
"
Eleanor Ainge Roy in Dunedin",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/kiwis-go-home-new-zealand-to-go-into-month-long-lockdown-to-fight-coronavirus,"
Mon 23 Mar 2020 02.29 GMT
"
"
Julian Borger in Washington",,"
Afghanistan
",https://www.theguardian.com/us-news/2020/mar/23/pompeo-arrives-in-kabul-despite-us-advice-against-international-travel-coronavirus,"
Mon 23 Mar 2020 17.24 GMT
"
"
Adam Morton Environment editor",,"
Coal
",https://www.theguardian.com/environment/2020/mar/24/push-to-get-taxpayer-funds-for-vales-point-coal-plant-upgrade-rejected,"
Mon 23 Mar 2020 16.30 GMT
"
"As told to 
Erin McCormick",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/quarantine-diary-travis-air-force-base-grand-princess,"
Mon 23 Mar 2020 10.00 GMT
"
"
Ben Butler",,"
Superannuation
",https://www.theguardian.com/australia-news/2020/mar/23/early-access-to-superannuation-over-coronavirus-should-be-last-resort-advocates,"
Mon 23 Mar 2020 06.03 GMT
"
"
Michael McGowan and 
Christopher Knaus",,"
Health
",https://www.theguardian.com/australia-news/2020/mar/24/rapid-covid-19-testing-kits-receive-urgent-approval-from-australian-regulator,"
Mon 23 Mar 2020 16.30 GMT
"
"
Angela Giuffrida Rome correspondent",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/this-is-not-a-film-italian-mayors-rage-coronavirus-lockdown-dodgers,"
Mon 23 Mar 2020 10.56 GMT
"
"
Paul Karp and 
Michael McGowan",,"
Australian education
",https://www.theguardian.com/australia-news/2020/mar/24/clear-as-mud-schools-ask-for-online-learning-help-as-coronavirus-policy-confusion-persists,"
Mon 23 Mar 2020 16.30 GMT
"
"
Nick Evershed",,"
Datablog
",https://www.theguardian.com/news/datablog/ng-interactive/2020/mar/23/how-many-cases-of-coronavirus-are-there-in-australia-live-statistics,"
Mon 23 Mar 2020 02.40 GMT
"
"
Calla Wahlquist (now) and 
Amy Remeikis (earlier)",,"
Coronavirus outbreak
",https://www.theguardian.com/world/live/2020/mar/23/australia-coronavirus-updates-live-pubs-closed-but-schools-open-after-national-cabinet-meeting-latest,"
Mon 23 Mar 2020 12.07 GMT
"
"
Luke Henriques-Gomes",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/am-i-eligible-for-centrelink-payments-how-to-apply-for-the-coronavirus-supplement,"
Mon 23 Mar 2020 10.01 GMT
"
"
Calla Wahlquist",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/09/so-you-think-you-have-coronavirus-what-australians-should-do-if-they-are-unwell,"
Fri 20 Mar 2020 00.45 GMT
"
"
Matilda Boseley",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/23/australians-onboard-costa-lumiosa-cruise-feel-kidnapped-after-being-forced-to-isolate-in-italy,"
Mon 23 Mar 2020 08.41 GMT
"
"Reported by 
Ben Butler and hosted by 
Laura Murphy-Oates. Produced by 
Ellen Leabeater, 
Joe Koning and Cheyne Anderson. The executive producers are 
Miles Martignoni and 
Gabrielle Jackson",,"
Full Story: coronavirus updates
",https://www.theguardian.com/australia-news/audio/2020/mar/24/coronavirus-australia-what-does-the-economic-rescue-package-mean-for-you,"
Mon 23 Mar 2020 16.30 GMT
"
"
Naaman Zhou",,"
Coronavirus outbreak
",https://www.theguardian.com/world/2020/mar/24/anatomy-of-a-coronavirus-disaster-how-2700-people-were-let-off-the-ruby-princess-cruise-ship-by-mistake,"
Mon 23 Mar 2020 16.30 GMT
"
